formula, good_instruction, is_taut, num_of_nodes, num_of_branches
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{2254}{44444455}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{2255}{44444444}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{2222}{44445555}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{2225}{44445522}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{2252}{44442255}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{2255}{44442222}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{2244}{44442222}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{2242}{44442244}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{2224}{44444422}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{2222}{44444444}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{4444}{55555555}{3333333333333333}}, False, 60, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{4445}{55555544}{3333333333333333}}, False, 60, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{4454}{55554455}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{4455}{55554444}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{4411}{55555555}{3333333333333333}}, False, 70, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{4415}{55555511}{3333333333333333}}, False, 70, 12
